color,congruent,word,corrans,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,inverse2.thisRepN,inverse2.thisTrialN,inverse2.thisN,inverse2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,date,frameRate,expName,session,participant,
RED,1,RED,z,,,,,0,24,24,21,,,,,,,,,,,,z,1,0.866722836802,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,,,,,0,25,25,12,,,,,,,,,,,,m,1,0.833253161225,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,BLUE,n,,,,,0,26,26,34,,,,,,,,,,,,n,1,0.666538435436,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,27,27,29,,,,,,,,,,,,z,1,0.649947278425,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,RED,x,,,,,0,28,28,23,,,,,,,,,,,,x,1,0.816611351775,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,z,,,,,0,29,29,2,,,,,,,,,,,,m,0,0.949937843166,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,30,30,35,,,,,,,,,,,,n,1,0.683275259594,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,31,31,5,,,,,,,,,,,,z,1,0.966489603835,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,32,32,18,,,,,,,,,,,,z,1,1.38307745023,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,33,33,16,,,,,,,,,,,,x,1,0.849821806041,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,34,34,20,,,,,,,,,,,,m,1,0.683365970499,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,35,35,6,,,,,,,,,,,,n,1,0.816696434631,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,36,36,14,,,,,,,,,,,,m,1,0.933246043399,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,37,37,38,,,,,,,,,,,,x,1,0.833195887551,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,38,38,10,,,,,,,,,,,,x,1,0.516891926564,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,39,39,11,,,,,,,,,,,,z,1,0.633260444583,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,0,0,20,,,,,,,,m,1,1.40021055524,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,1,1,16,,,,,,,,x,1,0.616662004215,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,2,2,39,,,,,,,,z,1,0.983077119167,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,3,3,13,,,,,,,,n,1,0.916638002241,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,4,4,38,,,,,,,,x,1,1.24972679133,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,5,5,0,,,,,,,,z,1,0.783291647148,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
