 [File Information]      		 [Data Line]	36
Measured Date	2016/09/08 11:06:36
ID	03001	Version	5.01
Name	ChiK13	[HeaderType]	5.01/2.01
Comment	
[Measurement Info.]
Holder Location	      19
Block Design	Off     
Pre.Rest Time	      60
Task Time	     120
Pos.Rest Time	      30
Loop	       1
Averaging	       1
Total Points	   10913
[.INF File]
Filename	thuong0402.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
   0.00,  0.00,  0.00,  0.00,536.00,458.00,653.00,  0.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Voltage 
Time Range	    0.00	  600.16	Averaing	1
(8,6)(3,6)(8,7)(5,6)(3,5)(5,7)(5,5)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7
Time(sec)	Task	Mark	Count	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm
     1.485	0	0	    0	    0.723125	    0.661173	    0.677653	    1.774777	    1.278248	    1.729915	    1.720455	    1.219654	    1.373159	    0.260777	    0.193637	    0.188449	    1.444572	    1.155261	    1.224231	    1.590448	    1.044785	    0.970626	    1.673457	    1.183642	    1.140917
     1.540	0	0	    0	    0.723430	    0.661784	    0.680095	    1.768978	    1.277943	    1.736629	    1.730831	    1.236133	    1.383841	    0.262608	    0.193637	    0.188754	    1.448539	    1.161975	    1.229725	    1.593194	    1.049058	    0.980392	    1.676204	    1.189441	    1.152819
     1.595	0	0	    0	    0.725261	    0.662699	    0.677653	    1.771420	    1.283131	    1.743954	    1.738460	    1.220569	    1.381399	    0.261997	    0.192721	    0.188754	    1.444266	    1.161364	    1.236439	    1.618830	    1.047227	    0.979782	    1.690242	    1.191882	    1.149767
     1.650	0	0	    0	    0.716716	    0.654459	    0.670024	    1.768673	    1.274586	    1.725338	    1.714961	    1.207752	    1.343252	    0.260777	    0.191501	    0.186618	    1.439078	    1.153735	    1.215076	    1.597772	    1.015793	    0.966964	    1.656062	    1.168994	    1.129320
     1.705	0	0	    0	    0.713054	    0.652018	    0.665446	    1.761959	    1.262989	    1.714961	    1.711604	    1.198596	    1.336538	    0.259556	    0.190280	    0.186313	    1.425345	    1.137560	    1.205921	    1.578851	    1.013046	    0.957809	    1.656062	    1.162585	    1.123522
     1.760	0	0	    0	    0.710307	    0.648356	    0.666056	    1.748531	    1.264515	    1.706722	    1.704891	    1.204395	    1.323110	    0.257725	    0.189364	    0.185702	    1.421073	    1.139391	    1.198291	    1.570916	    1.020676	    0.959335	    1.646601	    1.159838	    1.121080
     1.815	0	0	    0	    0.713359	    0.650492	    0.662699	    1.749447	    1.262074	    1.708248	    1.700618	    1.206836	    1.341421	    0.257725	    0.189059	    0.184176	    1.423514	    1.140002	    1.200122	    1.562982	    1.016709	    0.958419	    1.646906	    1.159228	    1.118944
     1.870	0	0	    0	    0.711833	    0.653544	    0.666667	    1.756161	    1.260243	    1.711910	    1.706416	    1.203174	    1.338674	    0.258640	    0.189059	    0.185397	    1.427787	    1.142138	    1.212940	    1.575189	    1.021592	    0.961166	    1.649042	    1.162280	    1.125963
     1.925	0	0	    0	    0.713970	    0.651713	    0.664836	    1.756771	    1.260548	    1.706416	    1.710994	    1.204700	    1.340200	    0.258946	    0.191196	    0.185702	    1.436942	    1.140307	    1.203479	    1.591974	    1.027390	    0.956588	    1.652705	    1.168688	    1.123522
     1.980	0	0	    0	    0.713054	    0.655375	    0.670634	    1.753719	    1.263294	    1.715572	    1.709468	    1.188525	    1.358511	    0.258946	    0.190585	    0.186313	    1.429618	    1.144884	    1.216602	    1.589532	    1.019150	    0.972763	    1.661860	    1.173877	    1.127489
