color,congruent,word,corrans,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,inverse2.thisRepN,inverse2.thisTrialN,inverse2.thisN,inverse2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,date,frameRate,expName,session,participant,
GREEN,1,GREEN,n,,,,,0,36,36,4,,,,,,,,,,,,n,1,1.099842215,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,37,37,18,,,,,,,,,,,,z,1,0.81660589439,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,z,,,,,0,38,38,2,,,,,,,,,,,,m,0,1.06646337144,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,39,39,21,,,,,,,,,,,,z,1,0.666656182981,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,0,0,35,,,,,,,,n,1,1.09985512649,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,m,,,,,,,,,0,1,1,19,,,,,,,,n,0,0.533246086994,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,RED,m,,,,,,,,,0,2,2,32,,,,,,,,m,1,0.600028272846,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,3,3,18,,,,,,,,z,1,0.766623209027,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,BLUE,x,,,,,,,,,0,4,4,7,,,,,,,,x,1,0.71659119516,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,RED,m,,,,,,,,,0,5,5,14,,,,,,,,m,1,0.949738889994,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,6,6,24,,,,,,,,z,1,0.7832985606,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,RED,z,,,,,,,,,0,7,7,11,,,,,,,,z,1,0.483309419491,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,YELLOW,m,,,,,,,,,0,8,8,31,,,,,,,,m,1,0.850005926044,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,9,9,15,,,,,,,,m,1,0.433358185186,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,10,10,16,,,,,,,,x,1,0.766620891583,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,,,,,0,11,11,12,,,,,,,,m,1,1.18309846565,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,12,12,20,,,,,,,,m,1,0.566745768836,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,BLUE,x,,,,,,,,,0,13,13,10,,,,,,,,x,1,0.666589639161,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,,,,,0,14,14,34,,,,,,,,n,1,0.849942030731,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,15,15,4,,,,,,,,n,1,0.649966264598,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,YELLOW,n,,,,,,,,,0,16,16,28,,,,,,,,n,1,0.533336136337,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,z,,,,,,,,,0,17,17,2,,,,,,,,m,0,0.966554281549,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,18,18,30,,,,,,,,x,1,1.01656742478,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,GREEN,z,,,,,,,,,0,19,19,9,,,,,,,,z,1,0.73324701397,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,20,20,33,,,,,,,,x,1,0.916284563886,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,YELLOW,n,,,,,,,,,0,21,21,6,,,,,,,,n,1,0.949895152102,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,RED,z,,,,,,,,,0,22,22,3,,,,,,,,x,0,0.86650150998,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,,,,,0,23,23,23,,,,,,,,x,1,0.666621421282,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,24,24,39,,,,,,,,z,1,0.666645257876,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,,,,,0,25,25,1,,,,,,,,z,1,0.683372917527,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,26,26,29,,,,,,,,z,1,0.633229997289,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,27,27,21,,,,,,,,z,1,0.550044263229,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,28,28,13,,,,,,,,n,1,0.883263269203,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,YELLOW,m,,,,,,,,,0,29,29,37,,,,,,,,m,1,0.633368050891,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,30,30,26,,,,,,,,m,1,0.466695976847,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,31,31,5,,,,,,,,z,1,0.799981195578,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,32,32,36,,,,,,,,m,1,0.749734983445,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,33,33,25,,,,,,,,n,1,1.08310396131,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,BLUE,n,,,,,,,,,0,34,34,22,,,,,,,,n,1,0.533482466533,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,BLUE,n,,,,,,,,,0,35,35,8,,,,,,,,n,1,1.01643797884,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,36,36,27,,,,,,,,x,1,0.70002641889,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,37,37,17,,,,,,,,z,1,0.699705287021,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,38,38,38,,,,,,,,x,1,0.716644165364,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,39,39,0,,,,,,,,z,1,1.13305519562,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.800046084078,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
