time	S1_D1_HbO	S1_D2_HbO	
   9.1300000e+00	   5.2237047e+00	   5.4968638e-01	
   9.1850000e+00	   7.0706964e+00	   4.7324948e-01	
   9.2400000e+00	   7.8847048e+00	   4.5338507e-01	
   9.2950000e+00	   7.9216891e+00	   5.2505528e-01	
   9.3500000e+00	   7.7708687e+00	   6.6780793e-01	
   9.4050000e+00	   7.7692613e+00	   8.1078956e-01	
   9.4600000e+00	   7.8563735e+00	   8.8383340e-01	
   9.5150000e+00	   7.8480454e+00	   8.7453179e-01	
   9.5700000e+00	   7.7222266e+00	   8.3135261e-01	
   9.6250000e+00	   7.6210523e+00	   8.0673433e-01	
   9.6800000e+00	   7.6633935e+00	   8.0310862e-01	
   9.7350000e+00	   7.8246720e+00	   7.8079260e-01	
   9.7900000e+00	   7.9710682e+00	   7.1318786e-01	
   9.8450000e+00	   7.9716579e+00	   6.2600220e-01	
   9.9000000e+00	   7.8064867e+00	   5.8295108e-01	
   9.9550000e+00	   7.6154086e+00	   6.3373668e-01	
   1.0010000e+01	   7.6322552e+00	   7.7073812e-01	
   1.0065000e+01	   7.9835981e+00	   9.3295700e-01	
   1.0120000e+01	   8.4401543e+00	   1.0506568e+00	
   1.0175000e+01	   8.3722884e+00	   1.0867936e+00	
   1.0230000e+01	   7.1892479e+00	   1.0447964e+00	
   1.0285000e+01	   5.0984369e+00	   9.4962907e-01	
   1.0340000e+01	   3.3218987e+00	   8.2842137e-01	
   1.0395000e+01	   3.1336922e+00	   7.0881921e-01	
   1.0450000e+01	   4.6130475e+00	   6.2761425e-01	
   1.0505000e+01	   6.6693749e+00	   6.2574378e-01	
   1.0560000e+01	   8.2037081e+00	   7.2020597e-01	
   1.0615000e+01	   8.8049981e+00	   8.7835162e-01	
   1.0670000e+01	   8.4157837e+00	   1.0305283e+00	
   1.0725000e+01	   6.9648936e+00	   1.1156923e+00	
   1.0780000e+01	   4.7220025e+00	   1.1166987e+00	
   1.0835000e+01	   2.7358143e+00	   1.0595418e+00	
   1.0890000e+01	   2.2838606e+00	   9.8265712e-01	
   1.0945000e+01	   3.6513124e+00	   9.0188915e-01	
   1.1000000e+01	   5.7928243e+00	   8.0991722e-01	
   1.1055000e+01	   7.3782647e+00	   7.1629956e-01	
   1.1110000e+01	   7.9428694e+00	   6.7180013e-01	
   1.1165000e+01	   7.9638154e+00	   7.2821372e-01	
   1.1220000e+01	   8.0740648e+00	   8.7375827e-01	
   1.1275000e+01	   8.3345622e+00	   1.0296341e+00	
   1.1330000e+01	   8.1715192e+00	   1.1153686e+00	
   1.1385000e+01	   6.9774621e+00	   1.1022290e+00	
   1.1440000e+01	   4.9096755e+00	   1.0109886e+00	
   1.1495000e+01	   3.1082523e+00	   8.8741851e-01	
   1.1550000e+01	   2.8225449e+00	   7.7810632e-01	
   1.1605000e+01	   4.1916687e+00	   7.0537633e-01	
   1.1660000e+01	   6.1595835e+00	   6.6699357e-01	
   1.1715000e+01	   7.6247862e+00	   6.6657197e-01	
   1.1770000e+01	   8.3187687e+00	   7.2105535e-01	
   1.1825000e+01	   8.5163846e+00	   8.2564529e-01	
   1.1880000e+01	   8.2783530e+00	   9.3808256e-01	
   1.1935000e+01	   7.2626437e+00	   1.0148106e+00	
   1.1990000e+01	   5.2706723e+00	   1.0444377e+00	
   1.2045000e+01	   2.7892218e+00	   1.0385831e+00	
   1.2100000e+01	   7.5303838e-01	   1.0095190e+00	
   1.2155000e+01	  -2.4913552e-01	   9.6162104e-01	
   1.2210000e+01	  -3.6895592e-01	   8.9143738e-01	
   1.2265000e+01	  -1.5283577e-01	   7.9684350e-01	
   1.2320000e+01	  -3.9313775e-03	   6.9643662e-01	
   1.2375000e+01	   2.3731860e-02	   6.3604090e-01	
   1.2430000e+01	   6.4153961e-02	   6.5993883e-01	
   1.2485000e+01	   1.8311471e-01	   7.6720678e-01	
   1.2540000e+01	   3.0703838e-01	   9.0354913e-01	
   1.2595000e+01	   3.5534634e-01	   1.0039226e+00	
   1.2650000e+01	   3.4455270e-01	   1.0398374e+00	
   1.2705000e+01	   3.2236923e-01	   1.0218405e+00	
   1.2760000e+01	   2.6927793e-01	   9.6838826e-01	
   1.2815000e+01	   1.4090823e-01	   8.9096224e-01	
   1.2870000e+01	  -3.1523050e-02	   8.0376812e-01	
   1.2925000e+01	  -1.6777986e-01	   7.2266428e-01	
   1.2980000e+01	  -2.3597083e-01	   6.5526646e-01	
   1.3035000e+01	  -2.4307732e-01	   6.1237026e-01	
   1.3090000e+01	  -1.7475274e-01	   6.1896982e-01	
   1.3145000e+01	  -3.6585252e-02	   6.9028653e-01	
   1.3200000e+01	   8.9858833e-02	   8.0435291e-01	
   1.3255000e+01	   1.2104101e-01	   9.1278588e-01	
   1.3310000e+01	   7.1139712e-02	   9.7116669e-01	
   1.3365000e+01	   1.8326521e-02	   9.5722878e-01	
   1.3420000e+01	   4.1678917e-03	   8.7814507e-01	
   1.3475000e+01	   1.3001674e-02	   7.6999120e-01	
   1.3530000e+01	   1.8460926e-02	   6.7731281e-01	
   1.3585000e+01	  -7.4437164e-04	   6.1975787e-01	
   1.3640000e+01	  -6.9210131e-02	   5.8367578e-01	
   1.3695000e+01	  -1.8539761e-01	   5.5618721e-01	
   1.3750000e+01	  -2.9418562e-01	   5.5486416e-01	
   1.3805000e+01	  -3.3045133e-01	   6.0321150e-01	
   1.3860000e+01	  -2.8198676e-01	   6.8812672e-01	
   1.3915000e+01	  -1.8765801e-01	   7.6824023e-01	
   1.3970000e+01	  -9.4474387e-02	   8.1975804e-01	
   1.4025000e+01	  -3.7539859e-02	   8.5077053e-01	
   1.4080000e+01	  -3.6389149e-02	   8.7085490e-01	
   1.4135000e+01	  -7.5317918e-02	   8.6970490e-01	
   1.4190000e+01	  -9.5683708e-02	   8.3558817e-01	
   1.4245000e+01	  -4.6782650e-02	   7.7719283e-01	
   1.4300000e+01	   4.3580269e-02	   7.1193732e-01	
   1.4355000e+01	   7.7843891e-02	   6.4344705e-01	
   1.4410000e+01	  -1.4214438e-02	   5.6420854e-01	
   1.4465000e+01	  -2.0034300e-01	   4.7786345e-01	
   1.4520000e+01	  -3.6873776e-01	   4.1512643e-01	
   1.4575000e+01	  -4.0960613e-01	   4.2343738e-01	
   1.4630000e+01	  -2.8774774e-01	   5.2396786e-01	
   1.4685000e+01	  -6.9465226e-02	   6.7108035e-01	
   1.4740000e+01	   1.2711063e-01	   7.7691234e-01	
   1.4795000e+01	   2.3737100e-01	   7.9417066e-01	
   1.4850000e+01	   2.9471264e-01	   7.5542846e-01	
   1.4905000e+01	   3.5062572e-01	   7.1717598e-01	
