time	S1_D2_HbO	
   1.5235000e+01	   5.5412425e-01	
   1.5290000e+01	   4.8506771e-01	
   1.5345000e+01	   4.4007842e-01	
   1.5400000e+01	   4.1910381e-01	
   1.5455000e+01	   4.1755119e-01	
   1.5510000e+01	   4.2725334e-01	
   1.5565000e+01	   4.3815117e-01	
   1.5620000e+01	   4.4029425e-01	
   1.5675000e+01	   4.2577762e-01	
   1.5730000e+01	   3.9021363e-01	
   1.5785000e+01	   3.3344348e-01	
   1.5840000e+01	   2.5944615e-01	
   1.5895000e+01	   1.7556136e-01	
   1.5950000e+01	   9.1137557e-02	
   1.6005000e+01	   1.5725770e-02	
   1.6060000e+01	  -4.2926575e-02	
   1.6115000e+01	  -8.0666359e-02	
   1.6170000e+01	  -9.8031799e-02	
   1.6225000e+01	  -1.0026453e-01	
   1.6280000e+01	  -9.6115566e-02	
   1.6335000e+01	  -9.5744191e-02	
   1.6390000e+01	  -1.0835250e-01	
   1.6445000e+01	  -1.4021705e-01	
   1.6500000e+01	  -1.9351118e-01	
   1.6555000e+01	  -2.6603294e-01	
   1.6610000e+01	  -3.5183300e-01	
   1.6665000e+01	  -4.4266270e-01	
   1.6720000e+01	  -5.2997426e-01	
   1.6775000e+01	  -6.0699278e-01	
   1.6830000e+01	  -6.7034501e-01	
   1.6885000e+01	  -7.2084003e-01	
   1.6940000e+01	  -7.6311669e-01	
   1.6995000e+01	  -8.0415695e-01	
   1.7050000e+01	  -8.5115771e-01	
   1.7105000e+01	  -9.0947644e-01	
   1.7160000e+01	  -9.8113491e-01	
   1.7215000e+01	  -1.0641371e+00	
   1.7270000e+01	  -1.1527527e+00	
   1.7325000e+01	  -1.2386428e+00	
   1.7380000e+01	  -1.3124050e+00	
   1.7435000e+01	  -1.3651770e+00	
   1.7490000e+01	  -1.3901943e+00	
   1.7545000e+01	  -1.3842096e+00	
   1.7600000e+01	  -1.3484974e+00	
   1.7655000e+01	  -1.2891421e+00	
   1.7710000e+01	  -1.2164399e+00	
   1.7765000e+01	  -1.1434138e+00	
   1.7820000e+01	  -1.0836974e+00	
   1.7875000e+01	  -1.0492914e+00	
   1.7930000e+01	  -1.0486671e+00	
   1.7985000e+01	  -1.0854384e+00	
   1.8040000e+01	  -1.1576484e+00	
   1.8095000e+01	  -1.2577894e+00	
   1.8150000e+01	  -1.3737495e+00	
   1.8205000e+01	  -1.4906738e+00	
   1.8260000e+01	  -1.5933523e+00	
   1.8315000e+01	  -1.6686158e+00	
   1.8370000e+01	  -1.7074006e+00	
   1.8425000e+01	  -1.7063008e+00	
   1.8480000e+01	  -1.6683300e+00	
   1.8535000e+01	  -1.6025217e+00	
   1.8590000e+01	  -1.5222866e+00	
   1.8645000e+01	  -1.4429107e+00	
   1.8700000e+01	  -1.3787946e+00	
   1.8755000e+01	  -1.3409939e+00	
   1.8810000e+01	  -1.3355068e+00	
   1.8865000e+01	  -1.3625545e+00	
   1.8920000e+01	  -1.4168273e+00	
   1.8975000e+01	  -1.4885219e+00	
   1.9030000e+01	  -1.5650416e+00	
   1.9085000e+01	  -1.6332081e+00	
   1.9140000e+01	  -1.6816621e+00	
   1.9195000e+01	  -1.7029981e+00	
   1.9250000e+01	  -1.6952083e+00	
   1.9305000e+01	  -1.6620503e+00	
   1.9360000e+01	  -1.6120826e+00	
   1.9415000e+01	  -1.5565256e+00	
   1.9470000e+01	  -1.5066470e+00	
   1.9525000e+01	  -1.4714801e+00	
   1.9580000e+01	  -1.4563210e+00	
   1.9635000e+01	  -1.4621157e+00	
   1.9690000e+01	  -1.4857752e+00	
   1.9745000e+01	  -1.5212768e+00	
   1.9800000e+01	  -1.5611127e+00	
   1.9855000e+01	  -1.5976645e+00	
   1.9910000e+01	  -1.6244015e+00	
   1.9965000e+01	  -1.6369903e+00	
   2.0020000e+01	  -1.6342253e+00	
   2.0075000e+01	  -1.6184210e+00	
   2.0130000e+01	  -1.5949515e+00	
   2.0185000e+01	  -1.5709974e+00	
   2.0240000e+01	  -1.5538620e+00	
   2.0295000e+01	  -1.5493087e+00	
   2.0350000e+01	  -1.5603220e+00	
   2.0405000e+01	  -1.5865216e+00	
   2.0460000e+01	  -1.6242159e+00	
   2.0515000e+01	  -1.6670354e+00	
   2.0570000e+01	  -1.7071668e+00	
   2.0625000e+01	  -1.7371110e+00	
   2.0680000e+01	  -1.7515846e+00	
   2.0735000e+01	  -1.7489374e+00	
   2.0790000e+01	  -1.7315627e+00	
   2.0845000e+01	  -1.7051522e+00	
   2.0900000e+01	  -1.6770623e+00	
   2.0955000e+01	  -1.6543123e+00	
   2.1010000e+01	  -1.6418208e+00	
   2.1065000e+01	  -1.6413484e+00	
   2.1120000e+01	  -1.6512911e+00	
   2.1175000e+01	  -1.6672090e+00	
   2.1230000e+01	  -1.6829686e+00	
   2.1285000e+01	  -1.6923565e+00	
   2.1340000e+01	  -1.6908103e+00	
   2.1395000e+01	  -1.6767438e+00	
   2.1450000e+01	  -1.6520429e+00	
   2.1505000e+01	  -1.6215688e+00	
   2.1560000e+01	  -1.5917977e+00	
   2.1615000e+01	  -1.5690287e+00	
   2.1670000e+01	  -1.5577577e+00	
   2.1725000e+01	  -1.5596866e+00	
   2.1780000e+01	  -1.5734551e+00	
   2.1835000e+01	  -1.5949048e+00	
   2.1890000e+01	  -1.6177302e+00	
   2.1945000e+01	  -1.6344980e+00	
   2.2000000e+01	  -1.6379554e+00	
   2.2055000e+01	  -1.6224285e+00	
   2.2110000e+01	  -1.5851422e+00	
   2.2165000e+01	  -1.5272826e+00	
   2.2220000e+01	  -1.4543835e+00	
   2.2275000e+01	  -1.3755220e+00	
   2.2330000e+01	  -1.3012770e+00	
   2.2385000e+01	  -1.2411498e+00	
   2.2440000e+01	  -1.2013845e+00	
   2.2495000e+01	  -1.1837619e+00	
   2.2550000e+01	  -1.1854795e+00	
   2.2605000e+01	  -1.1999723e+00	
   2.2660000e+01	  -1.2183212e+00	
   2.2715000e+01	  -1.2308586e+00	
   2.2770000e+01	  -1.2287964e+00	
   2.2825000e+01	  -1.2058040e+00	
   2.2880000e+01	  -1.1592817e+00	
   2.2935000e+01	  -1.0909991e+00	
   2.2990000e+01	  -1.0069342e+00	
   2.3045000e+01	  -9.1633289e-01	
   2.3100000e+01	  -8.3012646e-01	
   2.3155000e+01	  -7.5904413e-01	
   2.3210000e+01	  -7.1188708e-01	
   2.3265000e+01	  -6.9427043e-01	
   2.3320000e+01	  -7.0787240e-01	
   2.3375000e+01	  -7.5018581e-01	
   2.3430000e+01	  -8.1486430e-01	
   2.3485000e+01	  -8.9268553e-01	
   2.3540000e+01	  -9.7294735e-01	
   2.3595000e+01	  -1.0450585e+00	
   2.3650000e+01	  -1.1002008e+00	
   2.3705000e+01	  -1.1329283e+00	
   2.3760000e+01	  -1.1423482e+00	
   2.3815000e+01	  -1.1323968e+00	
   2.3870000e+01	  -1.1109628e+00	
   2.3925000e+01	  -1.0880679e+00	
   2.3980000e+01	  -1.0736304e+00	
   2.4035000e+01	  -1.0753494e+00	
   2.4090000e+01	  -1.0971674e+00	
   2.4145000e+01	  -1.1386564e+00	
   2.4200000e+01	  -1.1953822e+00	
   2.4255000e+01	  -1.2599418e+00	
   2.4310000e+01	  -1.3232885e+00	
   2.4365000e+01	  -1.3761145e+00	
   2.4420000e+01	  -1.4101904e+00	
   2.4475000e+01	  -1.4195727e+00	
   2.4530000e+01	  -1.4016281e+00	
   2.4585000e+01	  -1.3578243e+00	
   2.4640000e+01	  -1.2940386e+00	
   2.4695000e+01	  -1.2199482e+00	
   2.4750000e+01	  -1.1473428e+00	
   2.4805000e+01	  -1.0878193e+00	
   2.4860000e+01	  -1.0505847e+00	
   2.4915000e+01	  -1.0408271e+00	
   2.4970000e+01	  -1.0588555e+00	
   2.5025000e+01	  -1.1001838e+00	
   2.5080000e+01	  -1.1565893e+00	
   2.5135000e+01	  -1.2178936e+00	
   2.5190000e+01	  -1.2741373e+00	
   2.5245000e+01	  -1.3177639e+00	
   2.5300000e+01	  -1.3452209e+00	
   2.5355000e+01	  -1.3573994e+00	
   2.5410000e+01	  -1.3588038e+00	
   2.5465000e+01	  -1.3558440e+00	
   2.5520000e+01	  -1.3548174e+00	
   2.5575000e+01	  -1.3601117e+00	
   2.5630000e+01	  -1.3730930e+00	
   2.5685000e+01	  -1.3919327e+00	
   2.5740000e+01	  -1.4122338e+00	
   2.5795000e+01	  -1.4281073e+00	
   2.5850000e+01	  -1.4334739e+00	
   2.5905000e+01	  -1.4234912e+00	
   2.5960000e+01	  -1.3959432e+00	
   2.6015000e+01	  -1.3523037e+00	
   2.6070000e+01	  -1.2981214e+00	
   2.6125000e+01	  -1.2424132e+00	
   2.6180000e+01	  -1.1960008e+00	
   2.6235000e+01	  -1.1691832e+00	
   2.6290000e+01	  -1.1694610e+00	
   2.6345000e+01	  -1.1999447e+00	
   2.6400000e+01	  -1.2586940e+00	
   2.6455000e+01	  -1.3388795e+00	
   2.6510000e+01	  -1.4295839e+00	
   2.6565000e+01	  -1.5171540e+00	
   2.6620000e+01	  -1.5869867e+00	
   2.6675000e+01	  -1.6255234e+00	
   2.6730000e+01	  -1.6222982e+00	
   2.6785000e+01	  -1.5719648e+00	
   2.6840000e+01	  -1.4759521e+00	
   2.6895000e+01	  -1.3430467e+00	
   2.6950000e+01	  -1.1884263e+00	
   2.7005000e+01	  -1.0313217e+00	
   2.7060000e+01	  -8.9187538e-01	
   2.7115000e+01	  -7.8780168e-01	
   2.7170000e+01	  -7.3150063e-01	
   2.7225000e+01	  -7.2822704e-01	
   2.7280000e+01	  -7.7552722e-01	
   2.7335000e+01	  -8.6376129e-01	
   2.7390000e+01	  -9.7752282e-01	
   2.7445000e+01	  -1.0978606e+00	
